Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
1.949e-01,1.1,1.1
1.952e-01,1.1,1.1
1.955e-01,1.12,1.12
1.958e-01,1.1,1.12
1.962e-01,1.12,1.12
1.965e-01,1.12,1.12
1.968e-01,1.12,1.12
1.971e-01,1.14,1.14
1.974e-01,1.12,1.12
1.978e-01,1.14,1.14
1.981e-01,1.14,1.16
1.984e-01,1.14,1.14
1.987e-01,1.14,1.14
1.990e-01,1.16,1.16
1.994e-01,1.16,1.16
1.997e-01,1.16,1.16
2.000e-01,1.16,1.16
2.003e-01,1.16,1.18
2.006e-01,1.18,1.18
2.010e-01,1.18,1.18
2.013e-01,1.18,1.18
2.016e-01,1.18,1.18
2.019e-01,1.2,1.18
2.022e-01,1.2,1.2
2.026e-01,1.2,1.2
2.029e-01,1.2,1.22
2.032e-01,1.2,1.22
2.035e-01,1.22,1.2
2.038e-01,1.22,1.22
2.042e-01,1.22,1.22
2.045e-01,1.22,1.22
2.048e-01,1.22,1.22
2.051e-01,1.24,1.22
2.054e-01,1.24,1.24
2.058e-01,1.24,1.24
2.061e-01,1.26,1.24
2.064e-01,1.26,1.24
2.067e-01,1.24,1.26
2.070e-01,1.26,1.24
2.074e-01,1.26,1.26
2.077e-01,1.26,1.26
2.080e-01,1.26,1.26
2.083e-01,1.26,1.26
2.086e-01,1.28,1.28
2.090e-01,1.28,1.28
2.093e-01,1.28,1.28
2.096e-01,1.28,1.28
2.099e-01,1.28,1.28
2.102e-01,1.3,1.3
2.106e-01,1.3,1.3
2.109e-01,1.3,1.32
2.112e-01,1.3,1.3
2.115e-01,1.32,1.3
2.118e-01,1.3,1.32
2.122e-01,1.32,1.32
2.125e-01,1.32,1.32
2.128e-01,1.32,1.32
2.131e-01,1.32,1.34
2.134e-01,1.34,1.34
2.138e-01,1.34,1.34
2.141e-01,1.34,1.34
2.144e-01,1.34,1.34
2.147e-01,1.34,1.34
2.150e-01,1.36,1.34
2.154e-01,1.36,1.34
2.157e-01,1.36,1.36
2.160e-01,1.36,1.36
2.163e-01,1.38,1.36
2.166e-01,1.36,1.36
2.170e-01,1.38,1.38
2.173e-01,1.38,1.38
2.176e-01,1.38,1.38
2.179e-01,1.38,1.38
2.182e-01,1.4,1.38
2.186e-01,1.4,1.38
2.189e-01,1.4,1.42
2.192e-01,1.4,1.4
2.195e-01,1.42,1.4
2.198e-01,1.42,1.4
2.202e-01,1.42,1.42
2.205e-01,1.42,1.42
2.208e-01,1.42,1.42
2.211e-01,1.42,1.42
2.214e-01,1.44,1.42
2.218e-01,1.44,1.42
2.221e-01,1.42,1.44
2.224e-01,1.44,1.44
2.227e-01,1.44,1.44
2.230e-01,1.44,1.46
2.234e-01,1.44,1.44
2.237e-01,1.46,1.46
2.240e-01,1.46,1.46
2.243e-01,1.46,1.46
2.246e-01,1.46,1.46
2.250e-01,1.46,1.46
2.253e-01,1.48,1.46
2.256e-01,1.48,1.48
2.259e-01,1.48,1.48
2.262e-01,1.48,1.48
2.266e-01,1.5,1.48
2.269e-01,1.5,1.48
2.272e-01,1.5,1.5
2.275e-01,1.5,1.48
2.278e-01,1.5,1.5
2.282e-01,1.5,1.5
2.285e-01,1.52,1.5
2.288e-01,1.52,1.5
2.291e-01,1.52,1.52
2.294e-01,1.52,1.52
2.298e-01,1.52,1.54
2.301e-01,1.52,1.52
2.304e-01,1.54,1.52
2.307e-01,1.52,1.52
2.310e-01,1.54,1.54
2.314e-01,1.54,1.54
2.317e-01,1.54,1.54
2.320e-01,1.54,1.56
2.323e-01,1.56,1.54
2.326e-01,1.56,1.54
2.330e-01,1.56,1.56
2.333e-01,1.56,1.56
2.336e-01,1.56,1.56
2.339e-01,1.56,1.58
2.342e-01,1.56,1.56
2.346e-01,1.58,1.56
2.349e-01,1.58,1.58
2.352e-01,1.58,1.58
2.355e-01,1.58,1.58
2.358e-01,1.58,1.58
2.362e-01,1.58,1.58
2.365e-01,1.6,1.6
2.368e-01,1.6,1.58
2.371e-01,1.6,1.6
2.374e-01,1.6,1.62
2.378e-01,1.62,1.6
2.381e-01,1.62,1.6
2.384e-01,1.62,1.62
2.387e-01,1.62,1.62
2.390e-01,1.62,1.62
2.394e-01,1.62,1.62
2.397e-01,1.62,1.62
2.400e-01,1.64,1.62
2.403e-01,1.64,1.62
2.406e-01,1.64,1.64
2.410e-01,1.64,1.64
2.413e-01,1.64,1.64
2.416e-01,1.64,1.64
2.419e-01,1.64,1.64
2.422e-01,1.66,1.66
2.426e-01,1.66,1.66
2.429e-01,1.66,1.66
2.432e-01,1.66,1.68
2.435e-01,1.68,1.66
2.438e-01,1.68,1.66
2.442e-01,1.68,1.66
2.445e-01,1.68,1.66
2.448e-01,1.68,1.66
2.451e-01,1.68,1.68
2.454e-01,1.68,1.68
2.458e-01,1.68,1.68
2.461e-01,1.68,1.7
2.464e-01,1.7,1.7
2.467e-01,1.7,1.7
2.470e-01,1.7,1.7
2.474e-01,1.7,1.7
2.477e-01,1.72,1.7
2.480e-01,1.72,1.7
2.483e-01,1.72,1.72
2.486e-01,1.72,1.72
2.490e-01,1.72,1.7
2.493e-01,1.72,1.72
2.496e-01,1.72,1.72
2.499e-01,1.72,1.72
2.502e-01,1.74,1.72
2.506e-01,1.74,1.74
2.509e-01,1.74,1.74
2.512e-01,1.76,1.72
2.515e-01,1.74,1.74
2.518e-01,1.74,1.76
2.522e-01,1.76,1.76
2.525e-01,1.76,1.76
2.528e-01,1.76,1.74
2.531e-01,1.76,1.76
2.534e-01,1.76,1.76
2.538e-01,1.76,1.76
2.541e-01,1.76,1.76
2.544e-01,1.76,1.76
2.547e-01,1.78,1.76
2.550e-01,1.78,1.78
2.554e-01,1.78,1.78
2.557e-01,1.78,1.78
2.560e-01,1.78,1.78
2.563e-01,1.78,1.78
2.566e-01,1.78,1.8
2.570e-01,1.8,1.78
2.573e-01,1.8,1.8
2.576e-01,1.8,1.8
2.579e-01,1.82,1.8
2.582e-01,1.8,1.82
2.586e-01,1.8,1.8
2.589e-01,1.8,1.8
2.592e-01,1.82,1.82
2.595e-01,1.82,1.82
2.598e-01,1.84,1.82
2.602e-01,1.82,1.82
2.605e-01,1.82,1.82
2.608e-01,1.84,1.82
2.611e-01,1.84,1.82
2.614e-01,1.84,1.84
2.618e-01,1.84,1.82
2.621e-01,1.84,1.84
2.624e-01,1.84,1.84
2.627e-01,1.84,1.84
2.630e-01,1.86,1.84
2.634e-01,1.86,1.84
2.637e-01,1.86,1.84
2.640e-01,1.86,1.86
2.643e-01,1.86,1.86
2.646e-01,1.86,1.86
2.650e-01,1.88,1.86
2.653e-01,1.86,1.86
2.656e-01,1.88,1.88
2.659e-01,1.88,1.86
2.662e-01,1.88,1.88
2.666e-01,1.88,1.86
2.669e-01,1.88,1.88
2.672e-01,1.88,1.88
2.675e-01,1.88,1.88
2.678e-01,1.88,1.88
2.682e-01,1.88,1.88
2.685e-01,1.9,1.9
2.688e-01,1.9,1.9
2.691e-01,1.9,1.9
2.694e-01,1.9,1.9
2.698e-01,1.9,1.9
2.701e-01,1.9,1.9
2.704e-01,1.92,1.9
2.707e-01,1.92,1.9
2.710e-01,1.92,1.92
2.714e-01,1.92,1.92
2.717e-01,1.92,1.92
2.720e-01,1.94,1.92
2.723e-01,1.92,1.92
2.726e-01,1.94,1.92
2.730e-01,1.94,1.92
2.733e-01,1.94,1.94
2.736e-01,1.94,1.92
2.739e-01,1.94,1.94
2.742e-01,1.94,1.94
2.746e-01,1.94,1.94
2.749e-01,1.94,1.94
2.752e-01,1.96,1.94
2.755e-01,1.96,1.94
2.758e-01,1.96,1.94
2.762e-01,1.96,1.96
2.765e-01,1.96,1.96
2.768e-01,1.96,1.96
2.771e-01,1.96,1.96
2.774e-01,1.96,1.96
2.778e-01,1.96,1.96
2.781e-01,1.98,1.96
2.784e-01,1.98,1.96
2.787e-01,1.98,1.98
2.790e-01,1.98,1.98
2.794e-01,1.98,1.98
2.797e-01,1.98,1.98
2.800e-01,1.98,1.98
2.803e-01,1.98,1.98
2.806e-01,2,1.98
2.810e-01,2,1.98
2.813e-01,2,1.98
2.816e-01,2,2
2.819e-01,2,2
2.822e-01,2,2
2.826e-01,2,2
2.829e-01,2,2
2.832e-01,2.02,2
2.835e-01,2.02,2
2.838e-01,2.02,2
2.842e-01,2.02,2
2.845e-01,2.02,2
2.848e-01,2.02,2.02
2.851e-01,2.02,2.02
2.854e-01,2.02,2.04
2.858e-01,2.02,2.02
2.861e-01,2.02,2.02
2.864e-01,2.02,2.02
2.867e-01,2.04,2.04
2.870e-01,2.04,2.04
2.874e-01,2.04,2.04
2.877e-01,2.04,2.04
2.880e-01,2.06,2.04
2.883e-01,2.04,2.04
2.886e-01,2.04,2.04
2.890e-01,2.06,2.06
2.893e-01,2.06,2.04
2.896e-01,2.06,2.06
2.899e-01,2.06,2.06
2.902e-01,2.06,2.06
2.906e-01,2.06,2.06
2.909e-01,2.06,2.06
2.912e-01,2.06,2.06
2.915e-01,2.06,2.06
2.918e-01,2.06,2.06
2.922e-01,2.08,2.06
2.925e-01,2.08,2.08
2.928e-01,2.08,2.06
2.931e-01,2.1,2.08
2.934e-01,2.08,2.08
2.938e-01,2.1,2.08
2.941e-01,2.08,2.08
2.944e-01,2.1,2.08
2.947e-01,2.08,2.08
2.950e-01,2.1,2.1
2.954e-01,2.1,2.08
2.957e-01,2.1,2.1
2.960e-01,2.1,2.08
2.963e-01,2.1,2.1
2.966e-01,2.1,2.1
2.970e-01,2.1,2.1
2.973e-01,2.1,2.1
2.976e-01,2.1,2.1
2.979e-01,2.1,2.1
2.982e-01,2.12,2.1
2.986e-01,2.12,2.1
2.989e-01,2.12,2.12
2.992e-01,2.12,2.12
2.995e-01,2.12,2.12
2.998e-01,2.12,2.12
3.002e-01,2.12,2.12
3.005e-01,2.12,2.12
3.008e-01,2.14,2.12
3.011e-01,2.12,2.12
3.014e-01,2.14,2.12
3.018e-01,2.14,2.12
3.021e-01,2.12,2.14
3.024e-01,2.14,2.14
3.027e-01,2.14,2.12
3.030e-01,2.14,2.12
3.034e-01,2.14,2.14
3.037e-01,2.14,2.14
3.040e-01,2.14,2.14
3.043e-01,2.14,2.14
3.046e-01,2.16,2.14
3.050e-01,2.16,2.14
3.053e-01,2.16,2.14
3.056e-01,2.16,2.16
3.059e-01,2.16,2.16
3.062e-01,2.16,2.14
3.066e-01,2.16,2.14
3.069e-01,2.16,2.16
3.072e-01,2.16,2.16
3.075e-01,2.16,2.14
3.078e-01,2.16,2.16
3.082e-01,2.16,2.16
3.085e-01,2.18,2.16
3.088e-01,2.18,2.16
3.091e-01,2.18,2.16
3.094e-01,2.18,2.18
3.098e-01,2.18,2.18
3.101e-01,2.18,2.16
3.104e-01,2.18,2.18
3.107e-01,2.18,2.18
3.110e-01,2.18,2.16
3.114e-01,2.18,2.18
3.117e-01,2.18,2.18
3.120e-01,2.18,2.18
3.123e-01,2.18,2.18
3.126e-01,2.2,2.18
3.130e-01,2.2,2.18
3.133e-01,2.18,2.18
3.136e-01,2.18,2.18
3.139e-01,2.2,2.18
3.142e-01,2.2,2.18
3.146e-01,2.2,2.18
3.149e-01,2.2,2.18
3.152e-01,2.2,2.2
3.155e-01,2.2,2.2
3.158e-01,2.2,2.2
3.162e-01,2.2,2.2
3.165e-01,2.2,2.2
3.168e-01,2.2,2.2
3.171e-01,2.2,2.2
3.174e-01,2.2,2.2
3.178e-01,2.2,2.2
3.181e-01,2.2,2.2
3.184e-01,2.22,2.2
3.187e-01,2.22,2.2
3.190e-01,-2.54,-0.06
3.194e-01,-2.54,-0.06
3.197e-01,-2.54,-0.06

