Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.2
Label,,
TIME,CH1,CH2
-8.000e-05,0.376,-0.064
-7.992e-05,0.376,-0.064
-7.984e-05,0.368,-0.072
-7.976e-05,0.368,-0.072
-7.968e-05,0.36,-0.072
-7.960e-05,0.36,-0.072
-7.952e-05,0.36,-0.072
-7.944e-05,0.352,-0.072
-7.936e-05,0.344,-0.08
-7.928e-05,0.344,-0.08
-7.920e-05,0.336,-0.08
-7.912e-05,0.328,-0.08
-7.904e-05,0.32,-0.088
-7.896e-05,0.32,-0.096
-7.888e-05,0.32,-0.088
-7.880e-05,0.312,-0.088
-7.872e-05,0.304,-0.096
-7.864e-05,0.304,-0.096
-7.856e-05,0.296,-0.096
-7.848e-05,0.288,-0.096
-7.840e-05,0.288,-0.096
-7.832e-05,0.288,-0.104
-7.824e-05,0.272,-0.104
-7.816e-05,0.272,-0.112
-7.808e-05,0.264,-0.112
-7.800e-05,0.264,-0.112
-7.792e-05,0.256,-0.112
-7.784e-05,0.248,-0.12
-7.776e-05,0.248,-0.12
-7.768e-05,0.24,-0.128
-7.760e-05,0.24,-0.12
-7.752e-05,0.232,-0.12
-7.744e-05,0.224,-0.128
-7.736e-05,0.216,-0.128
-7.728e-05,0.208,-0.136
-7.720e-05,0.2,-0.128
-7.712e-05,0.2,-0.136
-7.704e-05,0.192,-0.136
-7.696e-05,0.184,-0.144
-7.688e-05,0.184,-0.136
-7.680e-05,0.176,-0.136
-7.672e-05,0.176,-0.144
-7.664e-05,0.168,-0.144
-7.656e-05,0.168,-0.144
-7.648e-05,0.152,-0.144
-7.640e-05,0.152,-0.144
-7.632e-05,0.144,-0.152
-7.624e-05,0.136,-0.152
-7.616e-05,0.136,-0.152
-7.608e-05,0.136,-0.16
-7.600e-05,0.12,-0.16
-7.592e-05,0.12,-0.16
-7.584e-05,0.112,-0.16
-7.576e-05,0.104,-0.16
-7.568e-05,0.096,-0.16
-7.560e-05,0.096,-0.168
-7.552e-05,0.088,-0.168
-7.544e-05,0.08,-0.176
-7.536e-05,0.08,-0.168
-7.528e-05,0.072,-0.168
-7.520e-05,0.064,-0.176
-7.512e-05,0.056,-0.176
-7.504e-05,0.056,-0.176
-7.496e-05,0.048,-0.176
-7.488e-05,0.04,-0.176
-7.480e-05,0.032,-0.176
-7.472e-05,0.032,-0.184
-7.464e-05,0.024,-0.184
-7.456e-05,0.016,-0.184
-7.448e-05,0.016,-0.176
-7.440e-05,0.008,-0.184
-7.432e-05,0,-0.184
-7.424e-05,-0.008,-0.184
-7.416e-05,0,-0.184
-7.408e-05,-0.008,-0.184
-7.400e-05,-0.024,-0.192
-7.392e-05,-0.016,-0.184
-7.384e-05,-0.024,-0.192
-7.376e-05,-0.032,-0.192
-7.368e-05,-0.04,-0.192
-7.360e-05,-0.04,-0.192
-7.352e-05,-0.048,-0.192
-7.344e-05,-0.056,-0.192
-7.336e-05,-0.064,-0.2
-7.328e-05,-0.064,-0.2
-7.320e-05,-0.072,-0.208
-7.312e-05,-0.072,-0.208
-7.304e-05,-0.08,-0.2
-7.296e-05,-0.096,-0.208
-7.288e-05,-0.096,-0.2
-7.280e-05,-0.096,-0.208
-7.272e-05,-0.104,-0.2
-7.264e-05,-0.12,-0.208
-7.256e-05,-0.112,-0.2
-7.248e-05,-0.12,-0.2
-7.240e-05,-0.136,-0.208
-7.232e-05,-0.136,-0.208
-7.224e-05,-0.144,-0.2
-7.216e-05,-0.144,-0.208
-7.208e-05,-0.152,-0.208
-7.200e-05,-0.152,-0.208
-7.192e-05,-0.16,-0.208
-7.184e-05,-0.16,-0.208
-7.176e-05,-0.168,-0.216
-7.168e-05,-0.176,-0.216
-7.160e-05,-0.176,-0.208
-7.152e-05,-0.184,-0.208
-7.144e-05,-0.192,-0.208
-7.136e-05,-0.192,-0.208
-7.128e-05,-0.2,-0.208
-7.120e-05,-0.208,-0.208
-7.112e-05,-0.208,-0.208
-7.104e-05,-0.216,-0.208
-7.096e-05,-0.224,-0.208
-7.088e-05,-0.224,-0.208
-7.080e-05,-0.232,-0.208
-7.072e-05,-0.232,-0.216
-7.064e-05,-0.24,-0.208
-7.056e-05,-0.248,-0.208
-7.048e-05,-0.248,-0.216
-7.040e-05,-0.256,-0.216
-7.032e-05,-0.264,-0.216
-7.024e-05,-0.264,-0.208
-7.016e-05,-0.272,-0.208
-7.008e-05,-0.272,-0.208
-7.000e-05,-0.28,-0.208
-6.992e-05,-0.288,-0.208
-6.984e-05,-0.296,-0.208
-6.976e-05,-0.296,-0.208
-6.968e-05,-0.296,-0.216
-6.960e-05,-0.304,-0.216
-6.952e-05,-0.312,-0.208
-6.944e-05,-0.312,-0.208
-6.936e-05,-0.32,-0.208
-6.928e-05,-0.32,-0.208
-6.920e-05,-0.328,-0.208
-6.912e-05,-0.328,-0.208
-6.904e-05,-0.336,-0.216
-6.896e-05,-0.344,-0.208
-6.888e-05,-0.344,-0.208
-6.880e-05,-0.352,-0.208
-6.872e-05,-0.352,-0.2
-6.864e-05,-0.36,-0.208
-6.856e-05,-0.36,-0.208
-6.848e-05,-0.376,-0.2
-6.840e-05,-0.368,-0.2
-6.832e-05,-0.376,-0.2
-6.824e-05,-0.384,-0.2
-6.816e-05,-0.392,-0.2
-6.808e-05,-0.384,-0.2
-6.800e-05,-0.392,-0.2
-6.792e-05,-0.392,-0.208
-6.784e-05,-0.4,-0.208
-6.776e-05,-0.408,-0.192
-6.768e-05,-0.408,-0.2
-6.760e-05,-0.408,-0.2
-6.752e-05,-0.416,-0.192
-6.744e-05,-0.416,-0.192
-6.736e-05,-0.424,-0.192
-6.728e-05,-0.424,-0.2
-6.720e-05,-0.424,-0.192
-6.712e-05,-0.44,-0.192
-6.704e-05,-0.44,-0.192
-6.696e-05,-0.44,-0.184
-6.688e-05,-0.44,-0.184
-6.680e-05,-0.448,-0.184
-6.672e-05,-0.448,-0.184
-6.664e-05,-0.456,-0.184
-6.656e-05,-0.456,-0.184
-6.648e-05,-0.456,-0.184
-6.640e-05,-0.464,-0.184
-6.632e-05,-0.464,-0.184
-6.624e-05,-0.464,-0.184
-6.616e-05,-0.472,-0.176
-6.608e-05,-0.472,-0.176
-6.600e-05,-0.48,-0.176
-6.592e-05,-0.48,-0.168
-6.584e-05,-0.48,-0.168
-6.576e-05,-0.48,-0.168
-6.568e-05,-0.488,-0.168
-6.560e-05,-0.488,-0.168
-6.552e-05,-0.488,-0.168
-6.544e-05,-0.488,-0.168
-6.536e-05,-0.496,-0.16
-6.528e-05,-0.496,-0.16
-6.520e-05,-0.504,-0.16
-6.512e-05,-0.504,-0.16
