Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,1
Label,,
TIME,CH1,CH2
-8.000e-05,-9.8,-2.76
-7.992e-05,-9.8,-2.72
-7.984e-05,-10,-2.72
-7.976e-05,-10,-2.72
-7.968e-05,-9.8,-2.72
-7.960e-05,-9.8,-2.72
-7.952e-05,-10,-2.72
-7.944e-05,-10,-2.72
-7.936e-05,-9.8,-2.72
-7.928e-05,-10,-2.72
-7.920e-05,-9.8,-2.72
-7.912e-05,-9.8,-2.72
-7.904e-05,-10,-2.72
-7.896e-05,-10,-2.72
-7.888e-05,-9.8,-2.72
-7.880e-05,-9.8,-2.72
-7.872e-05,-10,-2.72
-7.864e-05,-9.8,-2.72
-7.856e-05,-10,-2.68
-7.848e-05,-9.8,-2.68
-7.840e-05,-9.8,-2.68
-7.832e-05,-9.6,-2.68
-7.824e-05,-9.8,-2.68
-7.816e-05,-9.6,-2.68
-7.808e-05,-9.8,-2.68
-7.800e-05,-9.8,-2.64
-7.792e-05,-9.6,-2.64
-7.784e-05,-9.8,-2.64
-7.776e-05,-9.6,-2.68
-7.768e-05,-9.6,-2.64
-7.760e-05,-9.6,-2.64
-7.752e-05,-9.6,-2.64
-7.744e-05,-9.6,-2.6
-7.736e-05,-9.6,-2.6
-7.728e-05,-9.6,-2.6
-7.720e-05,-9.6,-2.6
-7.712e-05,-9.6,-2.6
-7.704e-05,-9.6,-2.6
-7.696e-05,-9.4,-2.56
-7.688e-05,-9.4,-2.56
-7.680e-05,-9.4,-2.56
-7.672e-05,-9.4,-2.6
-7.664e-05,-9.4,-2.56
-7.656e-05,-9.4,-2.56
-7.648e-05,-9.2,-2.56
-7.640e-05,-9.2,-2.52
-7.632e-05,-9.4,-2.52
-7.624e-05,-9.2,-2.52
-7.616e-05,-9.2,-2.52
-7.608e-05,-9.2,-2.48
-7.600e-05,-9.2,-2.48
-7.592e-05,-9.2,-2.48
-7.584e-05,-9,-2.48
-7.576e-05,-9,-2.44
-7.568e-05,-9.2,-2.48
-7.560e-05,-9,-2.44
-7.552e-05,-9,-2.44
-7.544e-05,-9,-2.44
-7.536e-05,-9,-2.4
-7.528e-05,-8.8,-2.4
-7.520e-05,-8.8,-2.4
-7.512e-05,-8.8,-2.4
-7.504e-05,-8.8,-2.4
-7.496e-05,-8.8,-2.36
-7.488e-05,-8.6,-2.36
-7.480e-05,-8.6,-2.36
-7.472e-05,-8.6,-2.36
-7.464e-05,-8.4,-2.36
-7.456e-05,-8.6,-2.32
-7.448e-05,-8.4,-2.32
-7.440e-05,-8.6,-2.32
-7.432e-05,-8.4,-2.32
-7.424e-05,-8.4,-2.24
-7.416e-05,-8.4,-2.28
-7.408e-05,-8.2,-2.28
-7.400e-05,-8.4,-2.24
-7.392e-05,-8.2,-2.24
-7.384e-05,-8.2,-2.2
-7.376e-05,-8.2,-2.2
-7.368e-05,-8,-2.16
-7.360e-05,-8,-2.16
-7.352e-05,-8,-2.16
-7.344e-05,-8,-2.16
-7.336e-05,-8,-2.12
-7.328e-05,-7.8,-2.12
-7.320e-05,-7.8,-2.08
-7.312e-05,-7.6,-2.08
-7.304e-05,-7.8,-2.08
-7.296e-05,-7.6,-2.04
-7.288e-05,-7.6,-2.04
-7.280e-05,-7.6,-2.04
-7.272e-05,-7.4,-2.04
-7.264e-05,-7.4,-2
-7.256e-05,-7.4,-2
-7.248e-05,-7.4,-1.96
-7.240e-05,-7.4,-1.96
-7.232e-05,-7.2,-1.92
-7.224e-05,-7.2,-1.96
-7.216e-05,-7.2,-1.96
-7.208e-05,-7,-1.92
-7.200e-05,-7,-1.88
-7.192e-05,-7,-1.88
-7.184e-05,-7,-1.88
-7.176e-05,-6.8,-1.84
-7.168e-05,-7,-1.8
-7.160e-05,-6.8,-1.8
-7.152e-05,-6.8,-1.76
-7.144e-05,-6.6,-1.76
-7.136e-05,-6.6,-1.76
-7.128e-05,-6.6,-1.72
-7.120e-05,-6.4,-1.72
-7.112e-05,-6.4,-1.68
-7.104e-05,-6.4,-1.68
-7.096e-05,-6.4,-1.64
-7.088e-05,-6.2,-1.64
-7.080e-05,-6.2,-1.6
-7.072e-05,-6.2,-1.64
-7.064e-05,-6,-1.6
-7.056e-05,-6,-1.6
-7.048e-05,-6,-1.56
-7.040e-05,-5.8,-1.56
-7.032e-05,-5.8,-1.52
-7.024e-05,-5.6,-1.52
-7.016e-05,-5.6,-1.48
-7.008e-05,-5.6,-1.48
-7.000e-05,-5.6,-1.44
-6.992e-05,-5.6,-1.44
-6.984e-05,-5.4,-1.4
-6.976e-05,-5.4,-1.4
-6.968e-05,-5.2,-1.4
-6.960e-05,-5.2,-1.36
-6.952e-05,-5.2,-1.36
-6.944e-05,-5.2,-1.32
-6.936e-05,-5,-1.28
-6.928e-05,-5,-1.28
-6.920e-05,-5,-1.28
-6.912e-05,-4.8,-1.24
-6.904e-05,-4.8,-1.2
-6.896e-05,-4.6,-1.2
-6.888e-05,-4.6,-1.2
-6.880e-05,-4.6,-1.16
-6.872e-05,-4.6,-1.16
-6.864e-05,-4.4,-1.16
-6.856e-05,-4.4,-1.12
-6.848e-05,-4.4,-1.08
-6.840e-05,-4.2,-1.08
-6.832e-05,-4.2,-1.08
-6.824e-05,-4,-1.04
-6.816e-05,-4,-1
-6.808e-05,-3.8,-1
-6.800e-05,-3.8,-0.96
-6.792e-05,-3.8,-0.96
-6.784e-05,-3.8,-0.92
-6.776e-05,-3.6,-0.92
-6.768e-05,-3.6,-0.88
-6.760e-05,-3.6,-0.88
-6.752e-05,-3.4,-0.84
-6.744e-05,-3.2,-0.84
-6.736e-05,-3.2,-0.84
-6.728e-05,-3.2,-0.8
-6.720e-05,-3,-0.8
-6.712e-05,-3,-0.76
-6.704e-05,-3,-0.72
-6.696e-05,-3,-0.72
-6.688e-05,-2.8,-0.72
-6.680e-05,-2.8,-0.68
-6.672e-05,-2.6,-0.68
-6.664e-05,-2.6,-0.6
-6.656e-05,-2.6,-0.6
-6.648e-05,-2.4,-0.6
-6.640e-05,-2.4,-0.56
-6.632e-05,-2.2,-0.52
-6.624e-05,-2.2,-0.52
-6.616e-05,-2.2,-0.48
-6.608e-05,-2,-0.48
-6.600e-05,-2,-0.44
-6.592e-05,-1.8,-0.44
-6.584e-05,-1.8,-0.44
-6.576e-05,-1.8,-0.4
-6.568e-05,-1.6,-0.36
-6.560e-05,-1.6,-0.36
-6.552e-05,-1.4,-0.32
-6.544e-05,-1.4,-0.32
-6.536e-05,-1.4,-0.32
-6.528e-05,-1.2,-0.28
-6.520e-05,-1.2,-0.24
-6.512e-05,-1,-0.2
-6.504e-05,-1,-0.2
